SiteID,910216,Site Timezone,-6,Data Timezone,-6,Longitude,-100.388824,Latitude,20.59169
Year,Month,Day,Hour,Minute,wind speed at 10m (m/s),wind direction at 10m (deg)
2010,1,1,0,0,5.12,83.85000000000001
2010,1,1,1,0,4.86,89.16
2010,1,1,2,0,6.08,72.3
2010,1,1,3,0,8.16,81.85000000000001
2010,1,1,4,0,8.6,79.95
2010,1,1,5,0,9.05,77.54
2010,1,1,6,0,7.63,72.01
2010,1,1,7,0,6.44,76.01
2010,1,1,8,0,7.42,86.63
2010,1,1,9,0,8.44,81.58
2010,1,1,10,0,7.97,85.06
2010,1,1,11,0,8.47,85.57000000000001
2010,1,1,12,0,9.32,85.57000000000001
2010,1,1,13,0,8.45,87.49
2010,1,1,14,0,8.46,81.45
2010,1,1,15,0,8.4,78.5
2010,1,1,16,0,8.24,76.36
2010,1,1,17,0,8.19,75.19
2010,1,1,18,0,7.7700000000000005,64.82000000000001
2010,1,1,19,0,8.370000000000001,64.76
2010,1,1,20,0,8.48,66.6
2010,1,1,21,0,7.55,67.27
2010,1,1,22,0,6.5200000000000005,72.08
2010,1,1,23,0,6.13,70.82000000000001
2010,1,2,0,0,5.99,78.95
2010,1,2,1,0,5.19,79.92
2010,1,2,2,0,4.86,80.27
2010,1,2,3,0,4.98,74.59
2010,1,2,4,0,4.7,68.23
2010,1,2,5,0,4.82,75.29
2010,1,2,6,0,4.44,79.26
2010,1,2,7,0,4.99,80.88
2010,1,2,8,0,5.53,79.51
2010,1,2,9,0,5.47,80.23
2010,1,2,10,0,4.7700000000000005,80.10000000000001
2010,1,2,11,0,3.87,79.11
2010,1,2,12,0,3.23,75.34
2010,1,2,13,0,2.72,75.3
2010,1,2,14,0,2.0100000000000002,75.57000000000001
2010,1,2,15,0,1.54,80.33
2010,1,2,16,0,1.32,80.26
2010,1,2,17,0,1.16,63.64
2010,1,2,18,0,1.83,67.68
2010,1,2,19,0,4.8,71.88
2010,1,2,20,0,5.62,71.41
2010,1,2,21,0,5.44,78.65
2010,1,2,22,0,5.32,72.31
2010,1,2,23,0,4.88,66.43
2010,1,3,0,0,4.46,75.03
2010,1,3,1,0,3.49,73.19
2010,1,3,2,0,3.21,76.64
2010,1,3,3,0,2.9,79.61
2010,1,3,4,0,2.92,76.89
2010,1,3,5,0,3.23,86.02
2010,1,3,6,0,3.54,88
2010,1,3,7,0,3.11,83.08
2010,1,3,8,0,3.0300000000000002,73.64
2010,1,3,9,0,3.15,74.22
2010,1,3,10,0,3.37,76.21000000000001
2010,1,3,11,0,3.67,83.72
2010,1,3,12,0,4.05,88.17
2010,1,3,13,0,4.3,95.39
2010,1,3,14,0,4.3100000000000005,101.94
2010,1,3,15,0,4.24,96.73
2010,1,3,16,0,5.55,64.6
2010,1,3,17,0,5.79,72.36
2010,1,3,18,0,5.3,75.57000000000001
2010,1,3,19,0,5.64,66.51
2010,1,3,20,0,5.61,68.13
2010,1,3,21,0,6.05,70.55
2010,1,3,22,0,5.76,70.92
2010,1,3,23,0,6.0600000000000005,69.13
2010,1,4,0,0,5.94,68.02
2010,1,4,1,0,5.96,67.43
2010,1,4,2,0,5.55,68.89
2010,1,4,3,0,5.37,64.45
2010,1,4,4,0,5.59,69.9
2010,1,4,5,0,4.69,67.91
2010,1,4,6,0,4.62,69.93
2010,1,4,7,0,5.14,66.52
2010,1,4,8,0,4.84,64.42
2010,1,4,9,0,5.2700000000000005,63.33
2010,1,4,10,0,5.76,67.02
2010,1,4,11,0,6.51,74.02
2010,1,4,12,0,6.49,68.15
2010,1,4,13,0,7.12,65.28
2010,1,4,14,0,7.22,72.88
2010,1,4,15,0,6.87,65.33
2010,1,4,16,0,7.15,67.82000000000001
2010,1,4,17,0,7.44,63.71
2010,1,4,18,0,7.79,64.61
2010,1,4,19,0,7.73,65.21000000000001
2010,1,4,20,0,8.16,65.63
2010,1,4,21,0,8.14,65.07000000000001
2010,1,4,22,0,7.68,68.13
2010,1,4,23,0,7.04,68.77
2010,1,5,0,0,7.51,62.68
2010,1,5,1,0,7.15,67.31
2010,1,5,2,0,6.3,68.69
2010,1,5,3,0,6.22,66.9
2010,1,5,4,0,6.11,79.02
2010,1,5,5,0,6.66,80.64
2010,1,5,6,0,6.43,79.06
2010,1,5,7,0,6.84,80.53
2010,1,5,8,0,7.49,78.67
2010,1,5,9,0,7.59,80.19
2010,1,5,10,0,8.25,79.98
2010,1,5,11,0,8.65,78.53
2010,1,5,12,0,8.83,80.38
2010,1,5,13,0,8.22,77.63
2010,1,5,14,0,8.44,80.05
2010,1,5,15,0,8.34,79.62
2010,1,5,16,0,8.52,76.24
2010,1,5,17,0,8.09,77.88
2010,1,5,18,0,8.49,70.63
2010,1,5,19,0,8.47,70.05
2010,1,5,20,0,8.2,71.11
2010,1,5,21,0,7.95,68.43
2010,1,5,22,0,7.26,65.72
2010,1,5,23,0,7.2,66.61
2010,1,6,0,0,6.4,68.06
2010,1,6,1,0,6.54,67.09
2010,1,6,2,0,5.59,67.61
2010,1,6,3,0,5.05,75.18
2010,1,6,4,0,4.95,66.74
2010,1,6,5,0,4.7700000000000005,68.79
2010,1,6,6,0,4.92,70.42
2010,1,6,7,0,3.84,81.24
2010,1,6,8,0,4.3,81.55
2010,1,6,9,0,4.3,83
