SiteID,909059,Site Timezone,-6,Data Timezone,-6,Longitude,-100.43097,Latitude,20.825272
Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),wind direction at 80m (deg)
2010,1,1,0,0,2.8000000000000003,29.62
2010,1,1,1,0,0.49,200.49
2010,1,1,2,0,3.2800000000000002,10
2010,1,1,3,0,3.0700000000000003,328.03000000000003
2010,1,1,4,0,2.42,287.2
2010,1,1,5,0,0.62,359.27
2010,1,1,6,0,2.68,18.76
2010,1,1,7,0,3.18,8.27
2010,1,1,8,0,0.59,56.1
2010,1,1,9,0,1.44,84.96000000000001
2010,1,1,10,0,7.63,100.46000000000001
2010,1,1,11,0,7.66,103.69
2010,1,1,12,0,9.59,108.55
2010,1,1,13,0,9.32,111.73
2010,1,1,14,0,7.82,109.98
2010,1,1,15,0,8,108.43
2010,1,1,16,0,8.39,101.73
2010,1,1,17,0,7.98,101.94
2010,1,1,18,0,3.4,41.21
2010,1,1,19,0,4.5600000000000005,7.49
2010,1,1,20,0,5.0600000000000005,8.44
2010,1,1,21,0,4.87,13.98
2010,1,1,22,0,3.41,37.53
2010,1,1,23,0,2.22,55.33
2010,1,2,0,0,0.4,196.51
2010,1,2,1,0,0.39,300.42
2010,1,2,2,0,1.27,156.18
2010,1,2,3,0,0.78,322.33
2010,1,2,4,0,2.2600000000000002,316.38
2010,1,2,5,0,1.8800000000000001,352.96
2010,1,2,6,0,0.62,355
2010,1,2,7,0,0.33,88.26
2010,1,2,8,0,0.29,166.03
2010,1,2,9,0,1.06,313.07
2010,1,2,10,0,0.54,343.31
2010,1,2,11,0,0.5,308.7
2010,1,2,12,0,0.38,139.52
2010,1,2,13,0,2.37,159.52
2010,1,2,14,0,2.62,161.28
2010,1,2,15,0,2.61,150.48
2010,1,2,16,0,3.13,152.88
2010,1,2,17,0,4.95,141.24
2010,1,2,18,0,4.83,130.62
2010,1,2,19,0,3.47,38.62
2010,1,2,20,0,1.97,78.47
2010,1,2,21,0,1.1500000000000001,100.98
2010,1,2,22,0,1.99,109.48
2010,1,2,23,0,1.6400000000000001,35.75
2010,1,3,0,0,1.7,114.53
2010,1,3,1,0,0.34,317.11
2010,1,3,2,0,1.37,317.96
2010,1,3,3,0,1.58,11.63
2010,1,3,4,0,1.17,21.25
2010,1,3,5,0,2.35,12.49
2010,1,3,6,0,3.2800000000000002,22.17
2010,1,3,7,0,4,2.27
2010,1,3,8,0,4.8100000000000005,3.18
2010,1,3,9,0,7.47,7.32
2010,1,3,10,0,8.24,12.61
2010,1,3,11,0,6.7,11.58
2010,1,3,12,0,4.08,12.040000000000001
2010,1,3,13,0,2.97,8.19
2010,1,3,14,0,3.8000000000000003,132.53
2010,1,3,15,0,3.73,131.92000000000002
2010,1,3,16,0,4.07,127.03
2010,1,3,17,0,3.5500000000000003,122.35000000000001
2010,1,3,18,0,4.32,96.3
2010,1,3,19,0,0.61,268.36
2010,1,3,20,0,2.2,6.0200000000000005
2010,1,3,21,0,5.21,2.19
2010,1,3,22,0,4.04,22.650000000000002
2010,1,3,23,0,3.42,16.3
2010,1,4,0,0,3.37,358.74
2010,1,4,1,0,1.52,89.05
2010,1,4,2,0,0.86,42.82
2010,1,4,3,0,1.45,317.86
2010,1,4,4,0,1.82,344.15000000000003
2010,1,4,5,0,3.09,359.54
2010,1,4,6,0,1.08,331.23
2010,1,4,7,0,1.9100000000000001,341.77
